Empresa;Área do Conhecimento;Subárea do Conhecimento
Optolink Indústria e Comércio Sociedade Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Prince Air Models Ltda. - ME;Engenharia Agrícola;Máquinas e Implementos Agrícolas
MWA Comércio e Serviços Ltda. - ME;Engenharia Mecânica;Mecânica dos Sólidos
Apyon Technology S/A;Ciência da Computação;Metodologia e Técnicas da Computação
Gisplan Tecnologia da Geoinformação Ltda (GISPLAN);Ciência da Computação;Sistemas de Computação
Omnisys Engenharia Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Tecnorama Brinquedos Educativos Ltda;Física;Física Geral
Qualilux Indústria de Equipamentos Ópticos e Eletrônicos Ltda. - ME;Engenharia Elétrica;Materiais Elétricos
Aronis Software Ltda;Ciência da Computação;Sistemas de Computação
Pro-Line Serviços Produtos Odontológicos e Ortopedicos Ltda. - ME;Engenharia Biomédica;Bioengenharia
Bhar Indústria e Comércio Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Bioware Desenvolvimento e Tecnologia em Energia e Meio Ambiente Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Dynamis Indústria e Comércio Ltda. - ME;Engenharia Aeroespacial;Sistemas Aeroespaciais
Plastiviva Aplicações e Reciclagem de Polímeros Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Eletro Máquinas Comércio e Representações Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Torr Microsistemas Integrados de Pressão, Indústria e Comércio Ltda. - EPP;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Infosoftware Sistemas Ltda. - ME;Ciência da Computação;Sistemas de Computação
Optolink Indústria e Comércio Sociedade Ltda;Engenharia Mecânica;Projetos de Máquinas
Al Tech Comércio e Importação ltda;Medicina Veterinária;Medicina Veterinária Preventiva
Realen Folheados Indústria Comércio e Exportação Ltda (REALEN);Engenharia Sanitária;Tratamentos de Águas de Abastecimento e Residuárias
Tech Chrom Instrumentos Analíticos Ltda. - ME;Química;Química Analítica
SHD Empreendimentos e Participações Ltda;Engenharia Mecânica;Projetos de Máquinas
Brats Indústria e Comércio de Produtos Metálicos Especiais Ltda. - ME;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
Sima Comércio e Serviços Ltda;Ciência da Computação;Sistemas de Computação
Tecnozinco Tratamento Superficial Ltda (TECNOZINCO);Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
Metalex Ltda;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
Newtech Assessoria Consultoria e Prestação de Serviços S/C Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Bluepoint Ambiental Ltda;Engenharia Sanitária;Tratamentos de Águas de Abastecimento e Residuárias
Quadros Systems Brasil Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
Adiante Informática Ltda;Engenharia Mecânica;Processos de Fabricação
Coll Tecnologia e Projetos Ltda.- ME;Engenharia de Produção;Engenharia do Produto
Lasertools Tecnologia Ltda;Engenharia Biomédica;Bioengenharia
;Química;Físico-química
;Engenharia Biomédica;
;Ciência da Computação;
Radium Systems Ltda;Ciência da Computação;Sistemas de Computação
Multi Vegetal Indústria e Comércio de Cosméticos e Produtos Naturais Ltda. - ME;Química;Físico-química
Átomo Radioproteção e Segurança Nuclear S/C Ltda;Engenharia Nuclear;Aplicações de Radioisótopos
DNA Consult Genética e Biotecnologia S/S Ltda;Bioquímica;Biologia Molecular
HVAC Engenharia em Sistemas Ambientais Ltda;Medicina Veterinária;Patologia Animal
Metaltech Sorocaba Equipamentos e Serviços Ltda;Engenharia de Materiais e Metalúrgica;Instalações e Equipamentos Metalúrgicos
Celeritas Desenvolvimento de Sistemas Ltda;Engenharia Elétrica;Telecomunicações
EQE Tecnologia Eletrônica Qualificada Espacial e Comércio Ltda. - ME;Engenharia Elétrica;Telecomunicações
Erythro Assessoria Química S/C Ltda;Química;Química Orgânica
Nanocore Biotecnologia Ltda. - EPP;Imunologia;Imunologia Aplicada
STQ Comércio e Serviços de Tecnologia Química Ltda;Engenharia Química;Tecnologia Química
Unitech Projetos Pesquisas Desenvolvimento Consultoria Comércio Ltda;Engenharia Química;Tecnologia Química
BR Express S/C Ltda;Engenharia de Transportes;Operações de Transportes
Brasil Ostrich Comercial, Importação e Exportação Ltda;Zootecnia;Produção Animal
Góes Indústria e Comércio de Móveis Ltda. - ME;Desenho Industrial;Desenho de Produto
Bio Soja Indústrias Químicas e Biológicas Ltda;Agronomia;Ciência do Solo
CP2 Ltda. - ME;Agronomia;Fitossanidade
Async Serviços de Informática Ltda;Ciência da Computação;Sistemas de Computação
Perc Engenharia Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Fotônica Tecnologia Ótica Ltda;Engenharia Elétrica;Telecomunicações
Lifemed Industrial de Equipamentos e Artigos Médicos e Hospitalares Ltda (LIFEMED);Engenharia Biomédica;Bioengenharia
Mextra Engenharia Extrativa de Metais Ltda (MEXTRA);Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
Metron - Física Aplicada & Instrumentação S/C Ltda;Física;Física Nuclear
Super Zinco Tratamento de Metais Comércio e Indústria Ltda;Engenharia Sanitária;Tratamentos de Águas de Abastecimento e Residuárias
Goen3 Indústria e Comércio de Artigos para a Saúde Ltda;Odontologia;Endodontia
PHB Industrial S/A;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Natural Products & Technologies Ltda. - ME;Engenharia Química;Processos Industriais de Engenharia Química
Angatuba Química Ltda;Engenharia Química;Tecnologia Química
Roberto de Menezes Lyra - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Global Eletroquímica Indústria e Comércio de Metais Ltda;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
Optolink Indústria e Comércio Sociedade Ltda;Química;Físico-química
Indústria Brasileira do Peixe Ltda;Recursos Pesqueiros e Engenharia de Pesca;Recursos Pesqueiros de Águas Interiores
Tech Filter Tratamento e Filtração Ltda;Engenharia Sanitária;Tratamentos de Águas de Abastecimento e Residuárias
Kroma Equipamentos Especiais Ltda;Engenharia Química;Processos Industriais de Engenharia Química
Adespec Adesivos Especiais Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Fernando Antonio Vanini - ME;Ciência da Computação;Matemática da Computação
Siporex Concreto Celular, Comercial Importação e Exportação Ltda;Engenharia Civil;Construção Civil
Itatex Indústria e Comércio de Cerâmica Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Versis Tecnologia Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Calmed Ltda. - ME;Engenharia Biomédica;Engenharia Médica
Natu-Lyne Produtos de Materiais Biodegradáveis Ltda;Engenharia de Produção;Engenharia do Produto
Eletrocell Indústria e Comércio de Equipamentos Elétricos Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Netvmi Tecnologia da Informação do Brasil Ltda;Administração;Administração de Setores Específicos
Paperless Consultoria e Serviços, Sistemas de Gerenciamento da Informação;Engenharia de Transportes;Planejamento de Transportes
Globalmaq Transdutores Magnéticos Indústria e Comércio Ltda (GLOBALMAQ);Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Orbital Engenharia S/A;Engenharia Aeroespacial;Materiais e Processos para Engenharia Aeronáutica, Aeroespacial
Light Tech Iluminação Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
NPA Núcleo de Pesquisas Aplicadas Ltda;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
DLG Automação Industrial Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Metal Plasma Ltda;Engenharia de Materiais e Metalúrgica;Instalações e Equipamentos Metalúrgicos
Terraviva Consultoria Ambiental S/C Ltda;Engenharia Agrícola;Máquinas e Implementos Agrícolas
Atlântica Assessoria Agroambiental Ltda;Recursos Florestais e Engenharia Florestal;Manejo Florestal
Signalcard Indústria e Comércio Ltda;Ciência e Tecnologia de Alimentos;Engenharia de Alimentos
Brastec Indústria de Peças para Equipamentos Médicos Ltda;Morfologia;Anatomia
Navcon Navegação e Controle Indústria e Comércio Ltda;Engenharia Aeroespacial;Sistemas Aeroespaciais
;Fisiologia;Fisiologia de Órgãos e Sistemas
;Química;Química Orgânica
Inbrapol Indústria e Comércio de Materiais Plásticos Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Tecnima Imagem e Automação Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Equacional Elétrica e Mecânica Ltda;Engenharia Elétrica;Sistemas Elétricos de Potência
Sensis São Carlos Indústria Comércio Equipamentos Eletrônicos Ltda. - ME;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Atlântica Assessoria Agroambiental Ltda;Agronomia;Floricultura, Parques e Jardins
Durasteel Engenharia Comércio e Representações Ltda;Engenharia de Minas;Tratamento de Minérios
Standard Telecomunicações Ltda;Engenharia Elétrica;Telecomunicações
Cameando Assessoria Técnica S/C Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Level Control Comércio e Serviços Ltda. - EPP;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Opto Médica Equipamentos Ltda;Física;Física da Matéria Condensada
Eyetec Equipamentos Oftalmicos Indústria, Comércio Importação e Exportação Ltda. - EPP;Engenharia Biomédica;Engenharia Médica
Synthon Especialidades Químicas Ltda;Química;Química Orgânica
Enalta Inovações Tecnológicas S/A;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
MRA Indústria de Equipamentos Eletrônicos Ltda;Engenharia Biomédica;Engenharia Médica
Hidrometal Indústria e Comércio de Equipamentos Hidráulicos Ltda. - EPP;Engenharia Mecânica;Projetos de Máquinas
Livet Produtos Veterinários Ltda;Medicina Veterinária;Medicina Veterinária Preventiva
Instituto Internacional de Ecologia de São Carlos Ltda (IIE);Ecologia;Ecologia de Ecossistemas
Tecnolab do Brasil Instrumentos de Laboratório e Computadores Pessoais Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Arboreto Produtos Florestais Ltda;Recursos Florestais e Engenharia Florestal;Silvicultura
Fissore Consultoria e Assessoria Técnico Científica S/C Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
SHS Consultoria e Projetos de Engenharia Ltda;Engenharia Civil;Engenharia Hidráulica
Pro-Line Serviços Produtos Odontológicos e Ortopedicos Ltda. - ME;Engenharia Biomédica;Engenharia Médica
Infodinâmica Assessoria Planejamento & Treinamento Ltda;Ciência da Computação;Sistemas de Computação
;Zoologia;Zoologia Aplicada
;Medicina;Anatomia Patológica e Patologia Clínica
;Engenharia de Materiais e Metalúrgica;
Castagnolli Aquicultura Ltda. - ME;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Engel Indústria e Comércio de Instrumentos Ltda. - ME;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Geodados Mapeamento e Pesquisa Ltda;Geociências;Geografia Física
Invernire Internacional Informática Ltda;Ciência da Computação;Sistemas de Computação
Atonus Engenharia de Sistemas Ltda. - EPP;Ciência da Computação;Sistemas de Computação
Omnitek Tecnologia Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Immunoassay Indústria e Comércio Ltda;Medicina;Anatomia Patológica e Patologia Clínica
Termocontroles Indústria e Comércio Ltda;Engenharia Química;Operações Industriais e Equipamentos para Engenharia Química
Pro-Clone Comércio de Mudas Matrizes - ME;Genética;Genética Vegetal
Agrionics Instrumentação de Equipamentos Agrícolas e Industriais Ltda;Engenharia Agrícola;Máquinas e Implementos Agrícolas
Germinal Indústria e Comércio de Produtos Químicos Ltda;Engenharia Química;Processos Industriais de Engenharia Química
Fibraforte Engenharia Indústria e Comércio Ltda;Engenharia Mecânica;Engenharia Térmica
ALS Laboratórios LS Ltda;Bioquímica;Biologia Molecular
Área Química Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Optovac Mecânica e Optoeletrônica Ltda;Engenharia Mecânica;Processos de Fabricação
Proqualit Telecon Ltda;Engenharia Elétrica;Telecomunicações
Metrolab Calibrações Ltda. - EPP;Física;Física dos Fluídos, Física de Plasmas e Descargas Elétricas
Esra Engenharia Serviços Representação Aeronáutica Ltda (ESRA);Engenharia de Materiais e Metalúrgica;Metalurgia Física
Versis Tecnologia Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Nova Aliança Comércio e Indústria de Sistemas Solares e Produtos Afins Ltda;Engenharia Mecânica;Processos de Fabricação
Sunpower Engenharia Ltda;Engenharia Civil;Construção Civil
Trion Tec Radion Comercial Ltda;Geociências;Geologia
MM Optics Ltda;Engenharia de Materiais e Metalúrgica;Metalurgia Física
Macrolog Teleinformática Ltda;Engenharia Elétrica;Telecomunicações
Databus Sankay Ltda;Engenharia Elétrica;Telecomunicações
Optron Micromecânica Óptica Ltda. - ME;Física;Física Geral
Reade Revestimentos Especiais de Alto Desempenho Ltda;Engenharia Química;Tecnologia Química
Dcsystem Energia e Telecomunicações Ltda;Engenharia de Materiais e Metalúrgica;Metalurgia Física
Beta Telecom Consultoria e Comércio Ltda;Engenharia Elétrica;Telecomunicações
Unitech Projetos Pesquisas Desenvolvimento Consultoria Comércio Ltda;Engenharia Química;Tecnologia Química
Spall Sistemas de Informações Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Idea Sistemas Eletrônicos Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Asga S/A;Engenharia Elétrica;Telecomunicações
Fmaiis Indústria de Alimentos Ltda;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
DLG Automação Industrial Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Neuron Engenharia e Comércio de Equipamentos Eletrônicos Ltda;Engenharia Elétrica;Telecomunicações
Livet Produtos Veterinários Ltda;Medicina Veterinária;Medicina Veterinária Preventiva
Linkgen Biotecnologia Veterinária Ltda;Medicina Veterinária;Reprodução Animal
Akaer Engenharia Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Comércio de Ferro Velho Moretti Ltda;Engenharia Sanitária;Saneamento Ambiental
Ram Computer Systems Consultoria em Informática Ltda. - ME;Ciência da Computação;Sistemas de Computação
Aluisio Pimentel de Camargo - ME;Física;Física dos Fluídos, Física de Plasmas e Descargas Elétricas
Kehl Indústria e Comércio Ltda. - ME;Engenharia Química;Tecnologia Química
Lasertools Tecnologia Ltda;Física;Física da Matéria Condensada
;Engenharia de Materiais e Metalúrgica;Metalurgia Extrativa
;Farmacologia;Etnofarmacologia
;Engenharia Agrícola;Máquinas e Implementos Agrícolas
Kortas Informática Instrumentação Médica Indústria, Comércio Importação e Exportação Ltda;Engenharia Biomédica;Engenharia Médica
Fermavi Eletroquímica Ltda (FERMAVI);Engenharia de Materiais e Metalúrgica;Metalurgia Extrativa
Optolink Indústria e Comércio Sociedade Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Fosbrasil S/A;Engenharia Química;Processos Industriais de Engenharia Química
